# m n size theta vf_avg vf_min vf_max
1 2 28 21.79 8.0332e+05 8.0106e+05 8.0654e+05
2 3 76 13.17 7.9725e+05 7.9465e+05 8.0005e+05
3 4 148 9.43 7.6301e+05 7.6249e+05 7.6343e+05
4 5 244 7.34 7.4456e+05 7.4422e+05 7.4500e+05
5 6 364 6.01 7.2080e+05 7.1860e+05 7.2362e+05
6 7 508 5.09 6.8355e+05 6.8183e+05 6.8573e+05
7 8 676 4.41 6.4179e+05 6.4066e+05 6.4329e+05
8 9 868 3.89 5.9708e+05 5.9498e+05 5.9986e+05
9 10 1084 3.48 5.4654e+05 5.4308e+05 5.5145e+05
10 11 1324 3.15 4.9202e+05 4.8776e+05 4.9791e+05
11 12 1588 2.88 4.4003e+05 4.3427e+05 4.4829e+05
12 13 1876 2.65 3.8748e+05 3.8011e+05 3.9832e+05
13 14 2188 2.45 3.3518e+05 3.2659e+05 3.4811e+05
14 15 2524 2.28 2.8541e+05 2.7597e+05 2.9980e+05
15 16 2884 2.13 2.3924e+05 2.2927e+05 2.5474e+05
16 17 3268 2.00 1.9703e+05 1.8695e+05 2.1301e+05
17 18 3676 1.89 1.5903e+05 1.4939e+05 1.7471e+05
18 19 4108 1.79 1.2485e+05 1.1631e+05 1.3926e+05
19 20 4564 1.70 9.6031e+04 8.8497e+04 1.0899e+05
